alpha,weighting,student_acc_mean,student_acc_std,gap_recovery_mean,gap_recovery_std,macro_f1_mean
0.1000,top_1,0.5896,0.0037,20.2809,2.3473,0.5904
0.1000,top_3,0.6019,0.0018,24.1883,0.4923,0.6024
0.1000,uniform,0.5692,0.0102,13.8126,4.5899,0.5672
0.5000,top_1,0.6059,0.0041,25.4612,0.2589,0.6036
0.5000,top_3,0.6168,0.0014,28.8887,0.4878,0.6148
0.5000,uniform,0.6085,0.0024,26.2515,1.7700,0.6049
1.0000,top_1,0.6142,0.0037,28.0445,2.1187,0.6120
1.0000,top_3,0.6227,0.0018,30.7356,1.4595,0.6199
1.0000,uniform,0.6210,0.0059,30.1800,2.7696,0.6180
10.0000,top_1,0.6106,0.0040,26.9071,2.2414,0.6077
10.0000,top_3,0.6189,0.0024,29.5561,0.1558,0.6153
10.0000,uniform,0.6207,0.0066,30.0821,2.9955,0.6171
100.0000,top_1,0.6105,0.0106,26.8446,4.3400,0.6068
100.0000,top_3,0.6244,0.0014,31.2741,1.3098,0.6206
100.0000,uniform,0.6172,0.0008,29.0123,0.6626,0.6134
