alpha,seed,weighting,student_acc,student_macro_f1,gap_recovery,lower_acc,upper_acc,best_epoch
0.1000,42,uniform,0.5764,0.5727,17.0581,0.5212,0.8448,76
0.1000,42,top_1,0.5922,0.5933,21.9407,0.5212,0.8448,70
0.1000,42,top_3,0.6006,0.6020,24.5365,0.5212,0.8448,75
0.1000,123,uniform,0.5620,0.5617,10.5670,0.5292,0.8396,70
0.1000,123,top_1,0.5870,0.5874,18.6211,0.5292,0.8396,79
0.1000,123,top_3,0.6032,0.6027,23.8402,0.5292,0.8396,76
0.5000,42,uniform,0.6102,0.6070,27.5031,0.5212,0.8448,73
0.5000,42,top_1,0.6030,0.6003,25.2781,0.5212,0.8448,79
0.5000,42,top_3,0.6158,0.6137,29.2336,0.5212,0.8448,78
0.5000,123,uniform,0.6068,0.6027,25.0000,0.5292,0.8396,76
0.5000,123,top_1,0.6088,0.6069,25.6443,0.5292,0.8396,79
0.5000,123,top_3,0.6178,0.6159,28.5438,0.5292,0.8396,79
1.0000,42,uniform,0.6252,0.6237,32.1384,0.5212,0.8448,78
1.0000,42,top_1,0.6168,0.6148,29.5426,0.5212,0.8448,72
1.0000,42,top_3,0.6240,0.6220,31.7676,0.5212,0.8448,76
1.0000,123,uniform,0.6168,0.6124,28.2216,0.5292,0.8396,76
1.0000,123,top_1,0.6116,0.6092,26.5464,0.5292,0.8396,79
1.0000,123,top_3,0.6214,0.6178,29.7036,0.5292,0.8396,78
10.0000,42,uniform,0.6254,0.6227,32.2002,0.5212,0.8448,74
10.0000,42,top_1,0.6134,0.6116,28.4920,0.5212,0.8448,78
10.0000,42,top_3,0.6172,0.6144,29.6663,0.5212,0.8448,78
10.0000,123,uniform,0.6160,0.6114,27.9639,0.5292,0.8396,74
10.0000,123,top_1,0.6078,0.6038,25.3222,0.5292,0.8396,76
10.0000,123,top_3,0.6206,0.6163,29.4459,0.5292,0.8396,73
100.0000,42,uniform,0.6166,0.6126,29.4808,0.5212,0.8448,79
100.0000,42,top_1,0.6180,0.6136,29.9135,0.5212,0.8448,72
100.0000,42,top_3,0.6254,0.6214,32.2002,0.5212,0.8448,77
100.0000,123,uniform,0.6178,0.6141,28.5438,0.5292,0.8396,75
100.0000,123,top_1,0.6030,0.6000,23.7758,0.5292,0.8396,76
100.0000,123,top_3,0.6234,0.6197,30.3479,0.5292,0.8396,78
