alpha,weighting,student_acc_mean,student_acc_std,gap_recovery_mean,gap_recovery_std,macro_f1_mean
0.1000,top_1,0.8522,0.0071,-473.5970,253.6309,0.8520
0.1000,top_3,0.8769,0.0030,-267.1400,104.7034,0.8776
0.1000,uniform,0.8827,0.0010,-224.8817,103.4604,0.8841
0.5000,top_1,0.8843,0.0058,-222.1771,151.6527,0.8841
0.5000,top_3,0.8978,0.0025,-105.2400,48.0488,0.8971
0.5000,uniform,0.8941,0.0016,-139.8918,90.5517,0.8925
1.0000,top_1,0.8870,0.0020,-190.0270,83.4281,0.8870
1.0000,top_3,0.8987,0.0027,-105.7471,86.1532,0.8982
1.0000,uniform,0.9009,0.0024,-88.2353,77.6431,0.9001
10.0000,top_1,0.8901,0.0013,-170.5882,99.8268,0.8895
10.0000,top_3,0.8959,0.0007,-124.6788,78.7905,0.8952
10.0000,uniform,0.8984,0.0040,-109.9053,96.9104,0.8977
100.0000,top_1,0.8886,0.0048,-187.3225,131.6203,0.8880
100.0000,top_3,0.8960,0.0023,-126.1325,90.5996,0.8953
100.0000,uniform,0.8975,0.0021,-114.2664,85.1970,0.8969
