alpha,seed,weighting,student_acc,student_macro_f1,gap_recovery,lower_acc,upper_acc,best_epoch
0.1000,42,uniform,0.8834,0.8850,-298.0392,0.9138,0.9240,10
0.1000,42,top_1,0.8472,0.8458,-652.9412,0.9138,0.9240,34
0.1000,42,top_3,0.8790,0.8798,-341.1765,0.9138,0.9240,33
0.1000,123,uniform,0.8820,0.8832,-151.7241,0.9084,0.9258,8
0.1000,123,top_1,0.8572,0.8582,-294.2529,0.9084,0.9258,35
0.1000,123,top_3,0.8748,0.8753,-193.1034,0.9084,0.9258,36
0.5000,42,uniform,0.8930,0.8913,-203.9216,0.9138,0.9240,10
0.5000,42,top_1,0.8802,0.8802,-329.4118,0.9138,0.9240,33
0.5000,42,top_3,0.8996,0.8991,-139.2157,0.9138,0.9240,33
0.5000,123,uniform,0.8952,0.8938,-75.8621,0.9084,0.9258,38
0.5000,123,top_1,0.8884,0.8879,-114.9425,0.9084,0.9258,28
0.5000,123,top_3,0.8960,0.8951,-71.2644,0.9084,0.9258,34
1.0000,42,uniform,0.8992,0.8986,-143.1373,0.9138,0.9240,32
1.0000,42,top_1,0.8884,0.8880,-249.0196,0.9138,0.9240,35
1.0000,42,top_3,0.8968,0.8962,-166.6667,0.9138,0.9240,37
1.0000,123,uniform,0.9026,0.9016,-33.3333,0.9084,0.9258,34
1.0000,123,top_1,0.8856,0.8860,-131.0345,0.9084,0.9258,31
1.0000,123,top_3,0.9006,0.9002,-44.8276,0.9084,0.9258,38
10.0000,42,uniform,0.8956,0.8948,-178.4314,0.9138,0.9240,34
10.0000,42,top_1,0.8892,0.8890,-241.1765,0.9138,0.9240,35
10.0000,42,top_3,0.8954,0.8949,-180.3922,0.9138,0.9240,33
10.0000,123,uniform,0.9012,0.9005,-41.3793,0.9084,0.9258,37
10.0000,123,top_1,0.8910,0.8900,-100.0000,0.9084,0.9258,39
10.0000,123,top_3,0.8964,0.8954,-68.9655,0.9084,0.9258,39
100.0000,42,uniform,0.8960,0.8954,-174.5098,0.9138,0.9240,34
100.0000,42,top_1,0.8852,0.8843,-280.3922,0.9138,0.9240,32
100.0000,42,top_3,0.8944,0.8938,-190.1961,0.9138,0.9240,39
100.0000,123,uniform,0.8990,0.8984,-54.0230,0.9084,0.9258,39
100.0000,123,top_1,0.8920,0.8917,-94.2529,0.9084,0.9258,38
100.0000,123,top_3,0.8976,0.8968,-62.0690,0.9084,0.9258,37
